201 
 60.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
 72.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
 84.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
 96.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
108.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
120.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
132.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
144.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
156.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
168.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
180.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
192.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
204.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
216.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
228.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
240.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
252.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
264.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
276.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
288.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
300.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
312.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
324.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
336.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
348.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
360.00 	   0.00 	  64.00 	   0.00 	  20.00 	   1.00 	   0.00 	 3 
